Denumire,Specialitate,Adresa,Telefon
SC PULS MEDICA SRL,RADIOLOGIE,"Intr. Spatarului nr. 3, Ap. 10, Sector 2",021.211.17.55
SC HIPOCRAT 2000 SRL,RADIOLOGIE,"B-dul Chisinau nr. 16, Sector 2","021.9695, 021.255.18.75, 031.8153530"
DELTA HEALTH CARE SRL.,RADIOLOGIE,STR NAE CARANFIL NR 85 A,219886
S.C. MEDICAL IMAGING CONCEPT SRL,RADIOLOGIE,"Str. Mihai Bravu nr. 281, Sector 3",731423703
ODELGA OPERATOR SRL,RADIOLOGIE,"Fundeni nr. 252, Sector 2",021.318.32.52/ interior 1061
TOTAL RADIOLOGY S.R.L.,RADIOLOGIE,"Dudesti nr. 104- 123, Sector 3",021.322.38.00
CMI DR. COSTACHE CRISTIANA,RADIOLOGIE,"B-dul Nicolae Grigorescu nr. 41, Sector 3",213404477
CMI DR. ISTRATESCU HORIA,RADIOLOGIE,"B-dul Nicolae Grigorescu nr. 41, Sector 3",213404477
CMI DR. ISTRATESCU HORIA,RADIOLOGIE,"B-dul Nicolae Grigorescu nr. 41, Sector 3",213404477
S.C. GRAL MEDICAL S.R.L.,RADIOLOGIE,"Str. Traian Popovici nr. 79 - 91, Sector3",213230000
S.C. EUREKA S.R.L.,RADIOLOGIE,"Str. Vitan Barzesti nr. 13, Sector 4",0727.476.370
Spitalul de copii M.S. CURIE,RADIOLOGIE,"B-dul Constantin Brancoveanu nr. 20, Sector 4",021.460.30.26 021.460.42.60
MEDINST SRL,RADIOLOGIE,"Sos Berceni 10-12, Sector 4",021.334.71.94
S.C. EGO TEST LAB S.R.L.,RADIOLOGIE,"Sos. Alexandriei nr. 144, Sector 5",217760075
S.C. MEDICALES SERVICII DE SANATATE PREMIUM SRL,RADIOLOGIE,"Str. Izvor nr. 92-96, Sector 5",031.432.99.75 / 031.432.99.76
MEDSANA BUCHAREST MEDICAL CENTER SRL,RADIOLOGIE,"Str. Dr. Nanu Muscel nr.12, Sector 5",219607
CMI DR. STANESCU GEORGETA,RADIOLOGIE,"Sos. Panduri nr. 20, Sector 5",214100942
CMI DR.MOCANU ELENA,RADIOLOGIE,"Str. Malcoci nr. 4, Sector 5",021.423.20.80/ 31
Institutul National de Geriatrie ?i Gerontologie Ana Aslan,RADIOLOGIE,"Str. Spatarului nr. 15, Sector 5",736397895
CMI DR. BALTOI SANDA,RADIOLOGIE,Str. Eforie nr. 4,742921177
CENTRUL MEDICAL HUMANITAS S.R.L.,"radiologie, explorari functionale","Str. Spartachiadei nr. 13, Sector 6",021.7713.253
S.C. CLINICA POLISANO S.R.L.,RADIOLOGIE,"B-dul Timisoara nr. 262, Sector 6",219267
MEDIRA SRL,RADIOLOGIE,"Pravat nr. 12, et.1, Sector 6",214133068
SC CENTRUL MEDICAL MED AS 2003 SRL,"CT, radiologie, RMN","B-dul Regina Maria nr 41, sector 6",219232
IDS LABORATORIES SRL,RADIOLOGIE,"Str. Cetatea Histria nr. 12, Sector 6",021.211.58.64
POL.MED-LIFE SRL,"radiologie, CT,","Drumul Taberii nr. 24, Sector 6",219646
C.M.I. VIZITEU SANDA,RADIOLOGIE,"B-dul Regiei nr. 8, Sector 6",721228291
SCM POLIMED APACA,RADIOLOGIE,"Str. Dezrobirii nr. 13, Sector 6",021.311.38.10
