supplierName,medicName,locality,street,address,contractNo,landline,mobile,phone
CABINET MEDICAL INDIVIDUAL Dr. CHECICHES,CABINET MEDICAL INDIVIDUAL Dr. CHECICHES,LIVADA,VICTORIEI,"LIVADA, Strada VICTORIEI",195,,726266262,; 726266262
CABINET MEDICAL INDIVIDUAL Dr. CHEREGI FLORICA,CABINET MEDICAL INDIVIDUAL Dr. CHEREGI FLORICA,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",77,361882638,744565593,361882638; 744565593
CABINET MEDICAL INDIVIDUAL Dr. CHIRA CRISTINA,CABINET MEDICAL INDIVIDUAL Dr. CHIRA CRISTINA,SATU MARE,P-ta LIBERTATII,"SATU MARE, Strada P-ta LIBERTATII",221,261871704,745599046,261871704; 745599046
CABINET MEDICAL  INDIVIDUAL Dr. CHIRA VASILE,CABINET MEDICAL  INDIVIDUAL Dr. CHIRA VASILE,TURT,P-ta Eroilor,"TURT, Strada P-ta Eroilor",191,261834468,744203748,261834468; 744203748
CABINET MEDICAL INDIVIDUAL Dr. CIMPEANU CECILIA,CABINET MEDICAL INDIVIDUAL Dr. CIMPEANU CECILIA,CAUAS,PRINCIPALA,"CAUAS, Strada PRINCIPALA",206,261873403,744119283,261873403; 744119283
CABINET MEDICAL INDIVIDUAL Dr. CIOLTEAN MARIANA,CABINET MEDICAL INDIVIDUAL Dr. CIOLTEAN MARIANA,SATU MARE,DIMA,"SATU MARE, Strada DIMA",84,261767187,744785393,261767187; 744785393
SOCIETATE CIVILA MEDICALA DR. COICA,SOCIETATE CIVILA MEDICALA DR. COICA,SATU MARE,LUCIAN BLAGA,"SATU MARE, Strada LUCIAN BLAGA",143,261766390,,261766390; 
CABINET MEDICAL INDIVIDUAL DR.CONIOSI-MESTESANU SIMONA,CABINET MEDICAL INDIVIDUAL DR.CONIOSI-MESTESANU SIMONA,TARNA MARE,PRINCIPALA,"TARNA MARE, Strada PRINCIPALA",192,261832360,740002751,261832360; 740002751
SC Dr. COVACIC FERENT SRL,SC Dr. COVACIC FERENT SRL,SATU MARE,TIRNAVEI,"SATU MARE, Strada TIRNAVEI",246,261769930,741075861,261769930; 741075861
Dr. COVACIC TUNDE SRL,Dr. COVACIC TUNDE SRL,SATU MARE,TIRNAVEI,"SATU MARE, Strada TIRNAVEI",247,361806861,,361806861; 
CABINET MEDICAL INDIVIDUAL Dr. CRISTEA MIRELA,CABINET MEDICAL INDIVIDUAL Dr. CRISTEA MIRELA,MOFTINU MARE,PRINCIPALA,"MOFTINU MARE, Strada PRINCIPALA",136,,722754390,; 722754390
CABINET MEDICAL INDIVIDUAL DR. CUCUIET LIANA,CABINET MEDICAL INDIVIDUAL DR. CUCUIET LIANA,RACSA,PRINCIPALA,"RACSA, Strada PRINCIPALA",36,261831494,741220733,261831494; 741220733
SOCIETATEA CIVILA MEDICALA Dr. CZAHER-Dr. BONTA,SOCIETATEA CIVILA MEDICALA Dr. CZAHER-Dr. BONTA,CALINESTI OAS,PRINCIPALA,"CALINESTI OAS, Strada PRINCIPALA",67,261839114,744501760,261839114; 744501760
CABINET MEDICAL INDIVIDUAL Dr. DRAGOS ZOLTAN,CABINET MEDICAL INDIVIDUAL Dr. DRAGOS ZOLTAN,SATU MARE,ZENIT,"SATU MARE, Strada ZENIT",112,261759859,743628284,261759859; 743628284
SC DRAGOS 2016 SRL,SC DRAGOS 2016 SRL,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",238,,740058813,; 740058813
CABINET MEDICAL  INDIVIDUAL DR ENYEDI ILONA,CABINET MEDICAL  INDIVIDUAL DR ENYEDI ILONA,POTAU,PRINCIPALA,"POTAU, Strada PRINCIPALA",107,261842173,721272117,261842173; 721272117
CABINET MEDICAL INDIVIDUAL Dr. ERDEI CLAUDIA-CODRUTA,CABINET MEDICAL INDIVIDUAL Dr. ERDEI CLAUDIA-CODRUTA,BOTIZ,TEILOR,"BOTIZ, Strada TEILOR",234,,744923754,; 744923754
CABINET MEDICAL INDIVIDUAL Dr. FEIER ANDREA,CABINET MEDICAL INDIVIDUAL Dr. FEIER ANDREA,SATU MARE,TARNAVEI 9,"SATU MARE, Strada TARNAVEI 9",230,,741737618,; 741737618
CABINET MEDICAL INDIVIDUAL Dr. FORTUNA VITALIE,CABINET MEDICAL INDIVIDUAL Dr. FORTUNA VITALIE,GHERTA MARE,PRINCIPALA,"GHERTA MARE, Strada PRINCIPALA",202,261835800,745264246,261835800; 745264246
CABINET MEDICAL INDIVIDUAL FORTUNA  IRINA,CABINET MEDICAL INDIVIDUAL FORTUNA  IRINA,TURT,CALINETE,"TURT, Strada CALINETE",224,261835800,746166670,261835800; 746166670
CABINET MEDICAL INDIVIDUAL DR FULOP POP RODICA,CABINET MEDICAL INDIVIDUAL DR FULOP POP RODICA,SATU MARE,TROTUSULUI,"SATU MARE, Strada TROTUSULUI",144,361427617,745843735,361427617; 745843735
CABINET MEDICAL INDIVIDUAL Dr. GAVA SILVIA,CABINET MEDICAL INDIVIDUAL Dr. GAVA SILVIA,SATU MARE,SANATATII,"SATU MARE, Strada SANATATII",59,,745803990,; 745803990
CABINET MEDICAL INDIVIDUAL Dr. GHITA SORIN,CABINET MEDICAL INDIVIDUAL Dr. GHITA SORIN,POIANA CODRULUI,PRINCIPALA,"POIANA CODRULUI, Strada PRINCIPALA",209,,766611213,; 766611213
CABINET MEDICAL INDIVIDUAL Dr. GLITIA,CABINET MEDICAL INDIVIDUAL Dr. GLITIA,TASNAD,ZORILOR,"TASNAD, Strada ZORILOR",16,361825310,743371860,361825310; 743371860
CABINET MEDICAL INDIVIDUAL Dr. GROZA EVA,CABINET MEDICAL INDIVIDUAL Dr. GROZA EVA,SATU MARE,ZENIT,"SATU MARE, Strada ZENIT",134,261759859,745545758,261759859; 745545758
CABINET MEDICAL INDIVIDUAL NR.5 Dr. GYORI BRANDUSAN GEORGETA,CABINET MEDICAL INDIVIDUAL NR.5 Dr. GYORI BRANDUSAN GEORGETA,SATU MARE,V. LUCACIU,"SATU MARE, Strada V. LUCACIU",56,261717467,723289056,261717467; 723289056
CABINET MEDICAL INDIVIDUAL Dr. HOLOBUTIU DANIELA,CABINET MEDICAL INDIVIDUAL Dr. HOLOBUTIU DANIELA,SATU MARE,Stefan cel Mare ,"SATU MARE, Strada Stefan cel Mare ",110,,730002262,; 730002262
CABINET MEDICAL INDIVIDUAL Dr. HURA MELINDA,CABINET MEDICAL INDIVIDUAL Dr. HURA MELINDA,LAZURI,,"LAZURI, Strada ",88,261765547,745365816,261765547; 745365816
CABINET MEDICAL INDIVIDUAL Dr. JURCHIS MIOARA,CABINET MEDICAL INDIVIDUAL Dr. JURCHIS MIOARA,CAMIN,PRINCIPALA,"CAMIN, Strada PRINCIPALA",121,261872784,746137556,261872784; 746137556
SC CLINICA KORALL SRL,SC CLINICA KORALL SRL,SATU MARE,P-ta Eroilor Revolutiei,"SATU MARE, Strada P-ta Eroilor Revolutiei",226,,748048550,; 748048550
CABINET MEDICAL  INDIVIDUAL Dr. KALLOS VIOLA,CABINET MEDICAL  INDIVIDUAL Dr. KALLOS VIOLA,MICULA,PRINCIPALA,"MICULA, Strada PRINCIPALA",26,261828644,744264462,261828644; 744264462
CABINET MEDICAL  INDIVIDUAL Dr. KARPINSZKI BIANKA,CABINET MEDICAL  INDIVIDUAL Dr. KARPINSZKI BIANKA,SATU MARE,Avram Iancu,"SATU MARE, Strada Avram Iancu",253,,742453359,; 742453359
CABINET MEDICAL INDIVIDUAL Dr. KASSAI CAROL,CABINET MEDICAL INDIVIDUAL Dr. KASSAI CAROL,HALMEU,ELIBERARII,"HALMEU, Strada ELIBERARII",117,261773014,744432054,261773014; 744432054
CABINET MEDICAL INDIVIDUAL Dr. KATONA CSILLA,CABINET MEDICAL INDIVIDUAL Dr. KATONA CSILLA,BIXAD,PRINCIPALA,"BIXAD, Strada PRINCIPALA",119,261843755,726364120,261843755; 726364120
SOCIETATE CIVILA MEDICALA Dr. KECSETI EMERIC,SOCIETATE CIVILA MEDICALA Dr. KECSETI EMERIC,PISCOLT,VICTORIEI,"PISCOLT, Strada VICTORIEI",243,261824606,746011535,261824606; 746011535
SC MEDINT SRL,SC MEDINT SRL,LIVADA,VICTORIEI ,"LIVADA, Strada VICTORIEI ",254,,745610055,; 745610055
CABINET MEDICAL INDIVIDUAL Dr. KINTZEL HELGA,CABINET MEDICAL INDIVIDUAL Dr. KINTZEL HELGA,CIUMESTI,PRINCIPALA,"CIUMESTI, Strada PRINCIPALA",227,,740457349,; 740457349
CABINET MEDICAL INDIVIDUAL Dr. KODRA,CABINET MEDICAL INDIVIDUAL Dr. KODRA,LIVADA,VICTORIEI,"LIVADA, Strada VICTORIEI",64,261840002,745617652,261840002; 745617652
CABINET MEDICAL INDIVIDUAL DR. KOROKNAI MARIA,CABINET MEDICAL INDIVIDUAL DR. KOROKNAI MARIA,BATARCI,PRINCIPALA,"BATARCI, Strada PRINCIPALA",95,261837038,740769300,261837038; 740769300
CABINET MEDICAL INDIVIDUAL DR. KREMER RENATA,CABINET MEDICAL INDIVIDUAL DR. KREMER RENATA,SANISLAU,OGORULUI,"SANISLAU, Strada OGORULUI",205,261821218,741043538,261821218; 741043538
CABINET MEDICAL ASOCIAT ESCULAP,CABINET MEDICAL ASOCIAT ESCULAP,HODOD,PRINCIPALA,"HODOD, Strada PRINCIPALA",89,261829002,761618290,261829002; 761618290
CABINET MEDICAL INDIVIDUAL DR LAKATOS MARIA,CABINET MEDICAL INDIVIDUAL DR LAKATOS MARIA,FOIENI,PRINCIPALA,"FOIENI, Strada PRINCIPALA",27,261874713,761765852,261874713; 761765852
CABINET MEDICAL INDIVIDUAL Dr. LAKATOS SANDOR,CABINET MEDICAL INDIVIDUAL Dr. LAKATOS SANDOR,TIREAM,MORII,"TIREAM, Strada MORII",215,261873723,741121256,261873723; 741121256
SOCIETATE CIVILA MEDICALA CARITAS MEDICA,SOCIETATE CIVILA MEDICALA CARITAS MEDICA,SATU MARE,CAREIULUI,"SATU MARE, Strada CAREIULUI",100,261769725,744539214,261769725; 744539214
CABINET MEDICAL INDIVIDUAL APOLLO,CABINET MEDICAL INDIVIDUAL APOLLO,SATU MARE,ZENIT,"SATU MARE, Strada ZENIT",152,261769349,729012753,261769349; 729012753
CABINET MEDICAL INDIVIDUAL Dr. LUCUTA RALUCA,CABINET MEDICAL INDIVIDUAL Dr. LUCUTA RALUCA,CEHAL,PRINCIPALA,"CEHAL, Strada PRINCIPALA",210,261826082,742202494,261826082; 742202494
CABINET MEDICAL INDIVIDUAL Dr. LUNG,CABINET MEDICAL INDIVIDUAL Dr. LUNG,SATU MARE,TARNAVEI 9,"SATU MARE, Strada TARNAVEI 9",164,770493496,722169026,770493496; 722169026
CABINET MEDICINA GENERALA INDIVIDUA DR LUPSICA-NEGREAN ANGELA,CABINET MEDICINA GENERALA INDIVIDUA DR LUPSICA-NEGREAN ANGELA,CAREI,25 OCTOMBRIE,"CAREI, Strada 25 OCTOMBRIE",154,361414942,,361414942; 
SC DR LUPU CRISTELINA SRL,SC DR LUPU CRISTELINA SRL,NEGRESTI OAS,VRATICEL,"NEGRESTI OAS, Strada VRATICEL",237,261855430,744983770,261855430; 744983770
CABINET MEDICAL INDIVIDUAL Dr. MAGHIAR,CABINET MEDICAL INDIVIDUAL Dr. MAGHIAR,GHERTA MICA,PRINCIPALA,"GHERTA MICA, Strada PRINCIPALA",200,261838228,744332414,261838228; 744332414
CABINET MEDICAL INDIVIDUAL Dr. MAIER GEORGETA,CABINET MEDICAL INDIVIDUAL Dr. MAIER GEORGETA,DOBA,PRINCIPALA,"DOBA, Strada PRINCIPALA",137,261869113,740600228,261869113; 740600228
MEDFARM Dr. MAKKAI SRL,MEDFARM Dr. MAKKAI SRL,HOMORODU DE MIJLOC,PRINCIPALA,"HOMORODU DE MIJLOC, Strada PRINCIPALA",244,261870773,723945054,261870773; 723945054
CABINET MEDICAL INDIVIDUAL DR. MALE LUCIAN MIHAI,CABINET MEDICAL INDIVIDUAL DR. MALE LUCIAN MIHAI,NEGRESTI OAS,VICTORIEI,"NEGRESTI OAS, Strada VICTORIEI",207,261855770,721434780,261855770; 721434780
CABINET MEDICAL INDIVIDUAL Dr. MARCUS CARMEN,CABINET MEDICAL INDIVIDUAL Dr. MARCUS CARMEN,CERTEZE,PRINCIPALA,"CERTEZE, Strada PRINCIPALA",171,261858111,741564750,261858111; 741564750
CABINET MEDICAL INDIVIDUAL Dr. MARE ADRIANA,CABINET MEDICAL INDIVIDUAL Dr. MARE ADRIANA,DOROLT,PRINCIPALA,"DOROLT, Strada PRINCIPALA",49,,722745921,; 722745921
CABINET MEDICAL INDIVIDUAL Dr. DAN  MARIAN GEORGETA,CABINET MEDICAL INDIVIDUAL Dr. DAN  MARIAN GEORGETA,CAREI,CAPITAN ZAGANESCU,"CAREI, Strada CAPITAN ZAGANESCU",135,361805114,745491397,361805114; 745491397
CABINET MEDICAL INDIVIDUAL Dr. MEHI IULIANA,CABINET MEDICAL INDIVIDUAL Dr. MEHI IULIANA,TASNAD,N. BALCESCU,"TASNAD, Strada N. BALCESCU",13,261825320,744577853,261825320; 744577853
CABINET MEDICAL INDIVIDUAL Dr. MERK GHIZELA,CABINET MEDICAL INDIVIDUAL Dr. MERK GHIZELA,CAREI,N. BALCESCU,"CAREI, Strada N. BALCESCU",250,,745883603,; 745883603
SC SERVICII MEDICALE MICUL SI ASOCIATII SRL,SC SERVICII MEDICALE MICUL SI ASOCIATII SRL,SATU MARE,RETEZATULUI,"SATU MARE, Strada RETEZATULUI",233,,723626817,; 723626817
SC MUN MED SRL,SC MUN MED SRL,SATU MARE,Lucian Blaga,"SATU MARE, Strada Lucian Blaga",241,361402807,740459475,361402807; 740459475
CABINET MEDICAL INDIVIDUAL Dr. MURESAN VASILE,CABINET MEDICAL INDIVIDUAL Dr. MURESAN VASILE,SATU MARE,CAISILOR,"SATU MARE, Strada CAISILOR",97,361405441,724229321,361405441; 724229321
SC OZON MEDICALA IMPACT SRL,SC OZON MEDICALA IMPACT SRL,NEGRESTI OAS,Victoriei ,"NEGRESTI OAS, Strada Victoriei ",236,361407771,747597045,361407771; 747597045
CABINET MEDICAL INDIVIDUAL Dr. NABULSSI MARWAN,CABINET MEDICAL INDIVIDUAL Dr. NABULSSI MARWAN,SUPUR,GARII,"SUPUR, Strada GARII",132,261823302,745797738,261823302; 745797738
CABINET MEDICAL INDIVIDUAL Dr. NAGHI GABRIELA,CABINET MEDICAL INDIVIDUAL Dr. NAGHI GABRIELA,MOFTINU MIC,PRINCIPALA,"MOFTINU MIC, Strada PRINCIPALA",35,261875002,722523957,261875002; 722523957
CABINET MEDICAL INDIVIDUAL PAULESTI,CABINET MEDICAL INDIVIDUAL PAULESTI,PAULESTI,PRINCIPALA,"PAULESTI, Strada PRINCIPALA",120,261757307,723364539,261757307; 723364539
CABINET MEDICAL  INDIVIDUAL Dr. OLTEANU ANTOANETA,CABINET MEDICAL  INDIVIDUAL Dr. OLTEANU ANTOANETA,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",18,,744431808,; 744431808
CABINET MEDICAL GRUPAT Dr. ORBAN - Dr. ORBAN,CABINET MEDICAL GRUPAT Dr. ORBAN - Dr. ORBAN,CAREI,TITULESCU,"CAREI, Strada TITULESCU",211,361429970,740022955,361429970; 740022955
SC ORBAN CLINIQUE SRL,SC ORBAN CLINIQUE SRL,SATU MARE,IULIU MANIU,"SATU MARE, Strada IULIU MANIU",248,361418739,,361418739; 
CABINET MEDICAL INDIVIDUAL DR OROSZ-TROMBITAS ESZTER,CABINET MEDICAL INDIVIDUAL DR OROSZ-TROMBITAS ESZTER,PORUMBESTI,PRINCIPALA,"PORUMBESTI, Strada PRINCIPALA",141,261773008,722606497,261773008; 722606497
CABINET MEDICAL INDIVIDUAL Dr. PALFI CORNEL,CABINET MEDICAL INDIVIDUAL Dr. PALFI CORNEL,SATU MARE,REPUBLICII,"SATU MARE, Strada REPUBLICII",166,,722888826,; 722888826
CABINET MEDICAL INDIVIDUAL Dr. PAPP,CABINET MEDICAL INDIVIDUAL Dr. PAPP,ORASU NOU,Satu Mare,"ORASU NOU, Strada Satu Mare",176,,744701236,; 744701236
CABINET MEDICAL INDIVIDUAL DR. PAUL MIRELA,CABINET MEDICAL INDIVIDUAL DR. PAUL MIRELA,NEGRESTI OAS,VICTORIEI,"NEGRESTI OAS, Strada VICTORIEI",129,261855275,744984207,261855275; 744984207
SOCIETATE CIVILA MEDICALA Dr. PECZ,SOCIETATE CIVILA MEDICALA Dr. PECZ,CAREI,25 OCTOMBRIE,"CAREI, Strada 25 OCTOMBRIE",208,,745300452,; 745300452
SOCIETATE CIVILA MEDICALA Dr. PLATICA,SOCIETATE CIVILA MEDICALA Dr. PLATICA,SUPUR,GARII,"SUPUR, Strada GARII",173,261823599,766397354,261823599; 766397354
CABINET MEDICAL INDIVIDUAL Dr. PLOSCA FLOARE,CABINET MEDICAL INDIVIDUAL Dr. PLOSCA FLOARE,SATU MARE,TROTUSULUI,"SATU MARE, Strada TROTUSULUI",93,261769131,723539094,261769131; 723539094
CABINET MEDICAL INDIVIDUAL Dr. POP ANA,CABINET MEDICAL INDIVIDUAL Dr. POP ANA,SATU MARE,P-TA PACII,"SATU MARE, Strada P-TA PACII",6,261716836,745610105,261716836; 745610105
CABINET MEDICAL INDIVIDUAL Dr. POP LIVIA,CABINET MEDICAL INDIVIDUAL Dr. POP LIVIA,SATU MARE,V. LUCACIU,"SATU MARE, Strada V. LUCACIU",124,261717467,722942178,261717467; 722942178
SOCIETATE CIVILA MEDICALA Dr. POP ALINA,SOCIETATE CIVILA MEDICALA Dr. POP ALINA,SATU MARE,TROTUSULUI,"SATU MARE, Strada TROTUSULUI",228,,740060274,; 740060274
CABINET MEDICAL INDIVIDUAL Dr. POP VIOREL,CABINET MEDICAL INDIVIDUAL Dr. POP VIOREL,ODOREU,STADIONULUI,"ODOREU, Strada STADIONULUI",252,,741764265,; 741764265
CABINET MEDICAL INDIVIDUAL Dr. RAIBULET MIRCEA,CABINET MEDICAL INDIVIDUAL Dr. RAIBULET MIRCEA,VAMA,PETOFI SANDOR,"VAMA, Strada PETOFI SANDOR",106,261857002,744852589,261857002; 744852589
CABINET MEDICAL INDIVIDUAL DR REDAI LEVENTE,CABINET MEDICAL INDIVIDUAL DR REDAI LEVENTE,BERCU,PRINCIPALA,"BERCU, Strada PRINCIPALA",128,261828811,748611501,261828811; 748611501
CABINET MEDICAL INDIVIDUAL Dr. RESZLER ECATERINA,CABINET MEDICAL INDIVIDUAL Dr. RESZLER ECATERINA,TIREAM,MORII,"TIREAM, Strada MORII",216,261873700,725477294,261873700; 725477294
CABINET MEDICAL INDIVIDUAL Dr. REVESZ ECATERINA,CABINET MEDICAL INDIVIDUAL Dr. REVESZ ECATERINA,SATU MARE,PETOFI SANDOR,"SATU MARE, Strada PETOFI SANDOR",249,261806684,,261806684; 
CABINET MEDICAL INDIVIDUAL Dr. ROTAR-BARBUR ALINA-MARIA,CABINET MEDICAL INDIVIDUAL Dr. ROTAR-BARBUR ALINA-MARIA,VETIS,PRINCIPALA,"VETIS, Strada PRINCIPALA",240,,740232627,; 740232627
SOCIETATE CIVILA MEDICALA Dr. RUBA CALIN,SOCIETATE CIVILA MEDICALA Dr. RUBA CALIN,TEREBESTI,PRINCIPALA,"TEREBESTI, Strada PRINCIPALA",177,261875972,745751202,261875972; 745751202
CABINET MEDICAL INDIVIDUAL Dr. RUSU,CABINET MEDICAL INDIVIDUAL Dr. RUSU,APA,STRADA DE JOS,"APA, Strada STRADA DE JOS",108,261843115,751599231,261843115; 751599231
SC Dr SAVA TOADER VIORICA SRL,SC Dr SAVA TOADER VIORICA SRL,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",242,261761811,741251769,261761811; 741251769
CABINET MEDICAL INDIVIDUAL Dr. SCHMIED,CABINET MEDICAL INDIVIDUAL Dr. SCHMIED,MICULA,PRINCIPALA,"MICULA, Strada PRINCIPALA",167,261828571,733138068,261828571; 733138068
CABINET MEDICAL INDIVIDUAL DR SERBAN ATTILA TIBOR,CABINET MEDICAL INDIVIDUAL DR SERBAN ATTILA TIBOR,AMATI,PRINCIPALA,"AMATI, Strada PRINCIPALA",151,,748135375,; 748135375
CABINET MEDICAL INDIVIDUAL Dr. SERBAN IOANA,CABINET MEDICAL INDIVIDUAL Dr. SERBAN IOANA,SATU MARE,UZINEI,"SATU MARE, Strada UZINEI",118,261877095,744678704,261877095; 744678704
SOCIETATE CIVILA MEDICALA DR. SICHET,SOCIETATE CIVILA MEDICALA DR. SICHET,POMI,PRINCIPALA,"POMI, Strada PRINCIPALA",219,261871704,744656528,261871704; 744656528
CABINET MEDICAL INDIVIDUAL DR SIMON KATALIN,CABINET MEDICAL INDIVIDUAL DR SIMON KATALIN,BERVENI,MAIOR,"BERVENI, Strada MAIOR",186,261872013,746131944,261872013; 746131944
