contractNo,supplierName,Localitate,Adresa cabinetului,address,phone,email
13,CMI AUGUSTA,Brad,"str. Vasile Milea, bl. B4/15","Brad, str. Vasile Milea, bl. B4/15",0741030553,boldmariaaugusta@yahoo.com
14,CMI AMIR,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0752267959,contracte.cmiamir@gmail.com
15,CMI DR. COTROAZA-DOBROMIR MARIUS-RELU,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0723586644,marius_cotroaza@yahoo.com
16,CMI DR. COTROAZA DOBROMIR MIHAELA,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0724369358,mihaela_cotroaza@yahoo.com
17,CMI PULS,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0723327752,cabdoricadan@gmail.com
18,CMI MEDICAL SIMONA,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0744478774,cmimedicalsimona@yahoo.com
19,CMI DR. LUNGU CARLA ELENA,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0723581001,carlaelena.lungu@yahoo.com
20,CMI DR. AYMAN MILHEM,Brad,"str. Cuza Voda, bl. 14, ap. 59","Brad, str. Cuza Voda, bl. 14, ap. 59",0745617440,ayman_milhem66@yahoo.com
21,CMI MEDICALIS,Brad,"str. Spitalului, nr. 10","Brad, str. Spitalului, nr. 10",0744592848,lgrusu71@gmail.com
22,CMI DR. ROPCEAN AIDA ALEXANDRA,Branisca,"str. Principala, nr. 214","Branisca, str. Principala, nr. 214",0741069923,aida.ropcean@yahoo.com
23,CMI DR. TOMODAN LAVINIA MIRONA,Buces,"str. Principala, nr. 79","Buces, str. Principala, nr. 79",0733527437,lamimed@yahoo.com
24,CMI MEDCONS,Bucuresci,"str. Principala, nr. 17","Bucuresci, str. Principala, nr. 17","0254684284, 0720042398",adrianbrusturean@gmail.com
25,CMI DR. FELSER ALFRED,Calan,"str. Policlinicii, nr. 1","Calan, str. Policlinicii, nr. 1",0722580768,felseralfred26@gmail.com
26,SC HELIOS MED SRL,Calan,"str. Independentei, nr. 18/81","Calan, str. Independentei, nr. 18/81","0254731799, 0723161596",elisabeta_irimie@yahoo.com
27,CMI DR. JURJ MIHAELA,Calan,"str. Independentei, nr. 18/91","Calan, str. Independentei, nr. 18/91",0728958330,cmijurjmihaela@yahoo.com
28,CMI DR. MIHAITA RODICA SAMIRA,Calan,"str. Policlinicii, nr. 1","Calan, str. Policlinicii, nr. 1",0763680778,mihaitarodica@ymail.com
29,SC VALPED CENTER SRL,Calan,"str. Policlinicii, nr. 1","Calan, str. Policlinicii, nr. 1","0724346993, 0254730834",valpedcomsrl@gmail.com
30,CMI DR. TIRINESCU GYONGYI  RODICA,Calan,"str. Policlinicii, nr. 1","Calan, str. Policlinicii, nr. 1",0254731101,rodica.tirinescu@yahoo.com
31,CMI DR. HRECINIC VIRGINIA,Certeju de Sus,"str. Principala, nr. 105","Certeju de Sus, str. Principala, nr. 105",0745511985,cmihrecinic@yahoo.com
32,CMI DR. IORDACHE AURICA,Certeju de Sus,"str. Principala, nr. 105","Certeju de Sus, str. Principala, nr. 105",0721601851,iordacheaurica@yahoo.com
33,CMI DR. ACHIM AMINA IOANA,Criscior,"str. Plopilor, nr. 4","Criscior, str. Plopilor, nr. 4",0740887040,cmi.dr.achim@gmail.com
34,CMI DR. FLOREA ELENA,Criscior,"str. Ploliplor, nr. 4","Criscior, str. Ploliplor, nr. 4",0745409126,dr_florea_elena@yahoo.com
35,CMI DR. TRIFU LAURA-MARIA,Densus,"str. Principala, nr. 43","Densus, str. Principala, nr. 43",0755568804,laura_hoanta@yahoo.com
36,CMI DR. BALU DANIELA,Deva,"str. Zamfirescu, nr. 5","Deva, str. Zamfirescu, nr. 5",0722878486,mf.daniela.balu@gmail.com
37,SC CENTRUL MEDICAL DR. MUNTEAN SRL,Deva,"Cartier micro 15, b-dul Nicolae Balcescu, bl. B, ap. 1","Deva, Cartier micro 15, b-dul Nicolae Balcescu, bl. B, ap. 1","0354414440, 0254223245",centrulmedicaldrmuntean@yahoo.com
38,CMI DR. CAPRINI DANIELA,Deva,"str. Zarandului, bl. 43, P","Deva, str. Zarandului, bl. 43, P",0745354822,caprinidaniela@yahoo.com
39,CMI DR. CALUSER LUCIA,Deva,"str. Duiliu Zamfirescu, nr. 5","Deva, str. Duiliu Zamfirescu, nr. 5","0254218352, 0722516163",dr.caluserlucia@yahoo.com
40,CMI DR. CERNELEA EUGENIA,Deva,"str. Avram Iancu, bl. H3, P","Deva, str. Avram Iancu, bl. H3, P","0254210011, 0722676929",mfcernelea@yahoo.com
41,SC LUCIA SINMED SRL,Deva,"str. Avram Iancu, nr. 153, bl. H3","Deva, str. Avram Iancu, nr. 153, bl. H3",0254233986,lucia_sinoi@yahoo.com
42,SC MEDVALENS SRL,Deva,"str. Avram Iancu, bl. H3, P","Deva, str. Avram Iancu, bl. H3, P",0254232633,medvalens@gmail.com
43,CMI DR. CORDEA VALERICA,Deva,"str. Zarandului, bl. 43/P","Deva, str. Zarandului, bl. 43/P",0723276266,cmivalerica@yahoo.com
44,SC MEDMAR SRL,Deva,"str. Mihai Eminescu, nr. 99","Deva, str. Mihai Eminescu, nr. 99","0254212727, 0723269440",medmarsrl@yahoo.com
45,CMI DR. DOBRE,Deva,"B-dul Decebal, nr. 10","Deva, B-dul Decebal, nr. 10",0254213061,crinadobre2018@yahoo.com
46,CMI DR. FARCA CORNELIA,Deva,"str. Avram Iancu, bl. H3/P","Deva, str. Avram Iancu, bl. H3/P",0254223126,corneliafarca@yahoo.com
47,CMI DR. FLOREA ELENA LILI,Deva,"str. Ion Creanga, bl. 29/P","Deva, str. Ion Creanga, bl. 29/P",0724278086,florealili19@yahoo.com
48,CMI DIANA MEDICA ,Deva,"str. Mihai Eminescu, bl. 13A","Deva, str. Mihai Eminescu, bl. 13A","0744647723, 0354412414",cmidianamedica@yahoo.com
49,CMI DR. GERDANOVICS,Deva,"str. Zarandului, bl. 43","Deva, str. Zarandului, bl. 43","0745615576, 0254221028",cmimanuela@yahoo.com
50,CMI OMNI MEDICA,Deva,"str. D. Zamfirescu, bl. O2/33","Deva, str. D. Zamfirescu, bl. O2/33",0254227390,omnimedica007@gmail.com
51,CMI LAZAR MEDICA ,Deva,"str. Mihai Eminescu, bl. 13 A","Deva, str. Mihai Eminescu, bl. 13 A",0722634302,lazarmedica@yahoo.com
52,CMI PROMEDICA,Deva,"str. Mihai Eminescu, bl. A/3","Deva, str. Mihai Eminescu, bl. A/3","0254235777, 0723504858",cmipromedicadeva@gmail.com
53,CMI MAGDA MEDICA,Deva,"str. Mihai Eminescu, nr. 13 A","Deva, str. Mihai Eminescu, nr. 13 A",0722628222,drmagdaadriana@yahoo.com
54,CMI DR. MANGA FLORENTINA,Deva,"str. Duiliu Zamfirescu, nr. 5, ap. 6, parter","Deva, str. Duiliu Zamfirescu, nr. 5, ap. 6, parter",0354148019,florentinamariana001@yahoo.ro
55,CMI DR. GROS GABRIELA,Deva,"str. Avram Iancu, bl. H3, P","Deva, str. Avram Iancu, bl. H3, P",0254235534,gabimaracu@gmail.com
56,CMI DR. MORAR,Deva,"str. Mihai Eminescu, bl.13 A, P","Deva, str. Mihai Eminescu, bl.13 A, P",0254224437,cmi.morarroxana@gmail.com
57,CMI DR. BUSUIOC OANA,Deva,"str. Duiliu Zamfirescu, nr. 5","Deva, str. Duiliu Zamfirescu, nr. 5",0752171799,oanar_busuioc@yahoo.com
58,CMI DR. NEGRUTIU MARIN ALEXANDRU,Deva,"str. Mihai Eminescu, nr. 99","Deva, str. Mihai Eminescu, nr. 99",0354104728,sandu_42@yahoo.com
59,CMI DR. NOVAC SILVIA,Deva,"str. Zarandului, bl. 43, P","Deva, str. Zarandului, bl. 43, P",0254219841,novac.silvia@yahoo.com
60,CENTRUL MEDICAL DOCTOR PETCA SRL,Deva,"str. Liliacului, bl. 22, sc. D, ap. 32","Deva, str. Liliacului, bl. 22, sc. D, ap. 32",0254221012,centrulmedical_petca@yahoo.com
61,CMI DR. PITAR CORNELIA,Deva,"str. Mihai Eminescu, nr. 99","Deva, str. Mihai Eminescu, nr. 99",0722217309,cmipitarcornelia@yahoo.com
62,CMI PROMOSAN,Deva,"str. Mihai Eminescu, nr. 99","Deva, str. Mihai Eminescu, nr. 99",0722729996,cmipromosan@yahoo.com
63,CMI RALEX MEDICA POPOVICI,Deva,"str. Mihai Eminescu, bl. 13A/P","Deva, str. Mihai Eminescu, bl. 13A/P",0254224494,marialaurapopoviciralex@gmail.com
64,CMI DR. RACATEAN FLOARE,Deva,"Al. Crizantemelor, bl. M2, ap. 6","Deva, Al. Crizantemelor, bl. M2, ap. 6",0722787754,dr.racatean@gmail.com
65,CMI DR. ROSCA ILEANA,Deva,"str. Aleea Viitorului, nr. 4","Deva, str. Aleea Viitorului, nr. 4",0723239228,cmiroscaileana@yahoo.com
66,CMI DR. STANEA JANA,Deva,"str. Zarandului, bl. 43, P","Deva, str. Zarandului, bl. 43, P",0720127352,janastanea@yahoo.com
67,CMI RALEX-MEDICA,Deva,"str. Mihai Eminescu, nr. 13 A","Deva, str. Mihai Eminescu, nr. 13 A",0722763668,stefliliana2018@gmail.com
68,CMI DR. TOMA DORINA,Deva,"str. Zarandului, bl. 43, P","Deva, str. Zarandului, bl. 43, P",0254219840,toma.dorina@yahoo.com
69,SC DALVIASANA SRL-D,Deva,"str. Mihai Eminescu, nr. 99","Deva, str. Mihai Eminescu, nr. 99",0757165250,contractare.dalvia@gmail.com
70,CMI MAGNAMED,Deva,"str. Ion Creanga, nr. 29","Deva, str. Ion Creanga, nr. 29",0254233262,andreea.ulitasinjoan@yahoo.com
71,CMI LANDA MED,Dobra,"P-ta Victoriei, nr. 1A","Dobra, P-ta Victoriei, nr. 1A",0254283129,landamed@gmail.com
72,CMI DR. TIRCOB,Dobra,"P-ta Victoriei, nr. 1","Dobra, P-ta Victoriei, nr. 1",0254283172,cmi.corina.tircob@gmail.com
73,CMI STEFONI CORINA MARIA,General Berthelot,"str. Principala, nr. 30","General Berthelot, str. Principala, nr. 30",0768771828,corina_stefoni@yahoo.com
74,CMI DR. CAZAN SORIN  TOMA,Geoagiu,"Calea Romanilor, nr. 112","Geoagiu, Calea Romanilor, nr. 112",0254248269,cazan_s@yahoo.com
75,CMI DR. PESTEAN JULIETA CARMEN,Geoagiu,"str. Calea Romanilor, nr. 212","Geoagiu, str. Calea Romanilor, nr. 212",0740054305,carmenjulieta.pestean@gmail.com
76,CMI DR. GRIGORESCU DELIA,Ghelari,"str. Ghioceilor, nr. 4","Ghelari, str. Ghioceilor, nr. 4",0724508498,dreditagrigorescu@yahoo.com
77,CMI DR. CERBICEANU MIHAELA,Gurasada,"str. Principala, nr. 5A","Gurasada, str. Principala, nr. 5A",0744570232,cmidrcerbiceanu@yahoo.com
78,SC GENERAL PRAXIS SRL,Hateg,"str. T. Vladimirescu, nr. 7","Hateg, str. T. Vladimirescu, nr. 7",0354418871,general_praxis@yahoo.com
79,SC SILOAM SRL,Hateg,"Social: str. Riul Mare, nr. 48A; Secundar:str. T. Vladimirescu, nr. 7","Hateg, Social: str. Riul Mare, nr. 48A; Secundar:str. T. Vladimirescu, nr. 7",0726769788,laurapopa2222@yahoo.com
80,SC TERAMEDICA SRL,Hateg,"social: I.L.Caragiale; secundar: str. T. Vladimirescu, nr. 7","Hateg, social: I.L.Caragiale; secundar: str. T. Vladimirescu, nr. 7",0746227127,anadregoesc@gmail.com
81,SC MARIMEDICA SRL,Hateg,"social:str. Carpaţi, nr. 11; secundar: str. T. Vladimirescu, nr. 7","Hateg, social:str. Carpaţi, nr. 11; secundar: str. T. Vladimirescu, nr. 7",0723175015,marimedicahateg15@gmail.com
82,SC MEDICUL FAMILIEI SRL,Hateg,"social: Hateg, str. Florilor, nr. 3; secundar: Bretea Româna, str. Principala, nr. 110","Hateg, social: Hateg, str. Florilor, nr. 3; secundar: Bretea Româna, str. Principala, nr. 110",0254733340,medfamdha@yahoo.com
83,SC VITALIS SRL,Hateg,"str. Crisan, nr. 3","Hateg, str. Crisan, nr. 3",0722373795,vitalissrl@yahoo.com
84,CMI MEDICASAN,Hunedoara,"B-dul Dacia, nr. 29, bl. V1/2","Hunedoara, B-dul Dacia, nr. 29, bl. V1/2",0254713647,georgetaanca28@yahoo.com
85,CMI ARMEDICA,Hunedoara,"B-dul Corvin, 5/3","Hunedoara, B-dul Corvin, 5/3",0722777370,mirceaartean@yahoo.com
86,SC LIA SANMED SRL,Hunedoara,"B-dul Dacia, nr. 8, bl. C1, ap. 144","Hunedoara, B-dul Dacia, nr. 8, bl. C1, ap. 144","0354800988, 0744593757",barbu_anailil@yahoo.com
87,CMI DR. BRATU BLANDUZIA ,Hunedoara,"str. Munteniei, nr. 1, bl. V1, ap. 28","Hunedoara, str. Munteniei, nr. 1, bl. V1, ap. 28",0354404105,bratu.blanduzia@yahoo.com
88,CMI ANDREAS MEDICA ,Hunedoara,"B-dul 1848, bl. 6/9","Hunedoara, B-dul 1848, bl. 6/9",0744390845,cmiandreasmedica@yahoo.com
89,SC TRAT CONS MED SRL,Hunedoara,"str. Traian Vuia, nr. 3, bl. Z2-2, ap. 4","Hunedoara, str. Traian Vuia, nr. 3, bl. Z2-2, ap. 4",0254716633,tratconsmed@yahoo.com
90,CMI DR. CIOBANU IOANA,Hunedoara,"str. Viorele, nr. 1, ap. 6","Hunedoara, str. Viorele, nr. 1, ap. 6",0254719944,ciobanuioana.cjashd@gmail.com
91,CMI DR. CIOF OANA,Hunedoara,"str. Munteniei, nr. 6, bl. V4, ap. 62","Hunedoara, str. Munteniei, nr. 6, bl. V4, ap. 62",0740171871,oanaciof@gmail.com
92,CMI PRO-PED,Hunedoara,"str. Republicii, nr. 5","Hunedoara, str. Republicii, nr. 5",0254742444,mariacoposescu@yahoo.com
93,SC COUNCIL MEDICAL SRL ,Hunedoara,"str. Avram Iancu, nr. 10, bl. C2, ap. 2","Hunedoara, str. Avram Iancu, nr. 10, bl. C2, ap. 2",0752453514,dr.andreeacordea@yahoo.com
94,CMI DR. COSTA ALINA,Hunedoara,"str. Caprioarei, nr. 3, bl. A11, ap. 32","Hunedoara, str. Caprioarei, nr. 3, bl. A11, ap. 32",0748593345,corneliaalinacosta@gmail.com
95,CMI MEDICINA DE FAMILIE SAN-MEDICA,Hunedoara,"B-dul Dacia, nr. 29/2","Hunedoara, B-dul Dacia, nr. 29/2",0254713647,gabrielacosteahd@yahoo.com
96,CMI DR. CRISTEA AURORA EMILIA,Hunedoara,"str. Laminatorului, nr. 4, bl. O2","Hunedoara, str. Laminatorului, nr. 4, bl. O2",0254713513,cristeaauroraemilia@yahoo.com
97,CMI OTI-SAN ,Hunedoara,"str. George Enescu, bl. 4, ap. 15","Hunedoara, str. George Enescu, bl. 4, ap. 15",0354882758,otilia55d@yahoo.com
98,CMI DR. FARCAS BIANCA ,Hunedoara,"str. Republicii, nr. 8, ap. 4","Hunedoara, str. Republicii, nr. 8, ap. 4",0254714852,cmidrfarcas@gmail.com
99,CMI DR. HARAU GHEORGHE,Hunedoara,"B-dul Dacia, nr. 8","Hunedoara, B-dul Dacia, nr. 8",0743178147,gheorghe_harau@yahoo.com
100,CMI DR. HATEGAN JENICA,Hunedoara,"B-dul 1848, nr. 14/9","Hunedoara, B-dul 1848, nr. 14/9",0771299236,cmidrhateganjenica@yahoo.com
101,SC MILENA PROCONS SRL,Hunedoara,"str. Cocsarilor, nr. 8/8/33","Hunedoara, str. Cocsarilor, nr. 8/8/33",0254719966,mihaelahuh@yahoo.com
102,SC NORANA MED SRL,Hunedoara,"str. Republicii, nr. 5","Hunedoara, str. Republicii, nr. 5",0744103488,iari_am@yahoo.com
103,CMI DR. MARTIN,Hunedoara,"str. Independentei, nr. 1","Hunedoara, str. Independentei, nr. 1",0254748029,martingeorgeta356@gmail.com
104,CMI DR. MATEI NICOLETA,Hunedoara,"str. Munteniei, nr. 1, bl. V1, ap. 3","Hunedoara, str. Munteniei, nr. 1, bl. V1, ap. 3",0254741642,kukisebi@yahoo.com
105,SC PRAXIMED HD SRL,Hunedoara,"str. George Enescu, nr. 5, ap. 2","Hunedoara, str. George Enescu, nr. 5, ap. 2",0354418968,fedoramedcom@yahoo.com
106,CMI DR. ADRIANA MOACA,Hunedoara,"str. Republicii, nr. 5","Hunedoara, str. Republicii, nr. 5","0254710545, 0722262065",adriana_moaca@yahoo.com
107,CMI DR. PACURAR DIANA,Hunedoara,"str. Nicolae Balcescu, nr. 3-5/108-110","Hunedoara, str. Nicolae Balcescu, nr. 3-5/108-110",0744476337,memediana@rdslink.ro
108,CMI PRAXIS,Hunedoara,"str. Republicii, nr. 18","Hunedoara, str. Republicii, nr. 18",0354418936,cmi.praxis@yahoo.com
109,CMI DR. PATAN MIHAELA,Hunedoara,"str. Intrarea Lanului, nr. C2/2,","Hunedoara, str. Intrarea Lanului, nr. C2/2,",0354883379,drmihaelapatan@yahoo.com
110,CMI DR. PAUNESCU CARMEN,Hunedoara,"str. Republicii, nr. 5","Hunedoara, str. Republicii, nr. 5",0254710646,drcarmenpaunescu@yahoo.com
111,SC CARMED CABICONS SRL,Hunedoara,"str. Lanului, nr. 6, bl. C4, ap. 4","Hunedoara, str. Lanului, nr. 6, bl. C4, ap. 4","0740246883, 0254892444",carmedcabicons@yahoo.com
112,CMI DR. POENAR FLORENTA,Hunedoara,"str. Corvin, nr. 8, ap. 15","Hunedoara, str. Corvin, nr. 8, ap. 15",0254713713,poenarflorenta@yahoo.com
113,CMI MEDICAL,Hunedoara,"str. Eroilor, nr. 13, ap.16","Hunedoara, str. Eroilor, nr. 13, ap.16",0254744933,florentinapus@yahoo.com
114,CMI DR. ROMAN BORZA MIHAELA,Hunedoara,"str. Chizid, nr. 27","Hunedoara, str. Chizid, nr. 27",0724306160,quatro_cornelia@yahoo.com
115,CMI DR. SZEKELY  ADELINNE,Hunedoara,"B-dul Dacia, nr. 8, bl. C1, ap. 144","Hunedoara, B-dul Dacia, nr. 8, bl. C1, ap. 144","0254741077, 0748055001",deliaszekely1950@gmail.com
116,CMI MEDICAL DR. TALFES,Hunedoara,"str. Republicii, nr. 4","Hunedoara, str. Republicii, nr. 4",0722970383,puls.nora@yahoo.com
117,CMI DR. TAT SILVIA,Hunedoara,"str. Piata Iancu de Hunedoara, nr. 3","Hunedoara, str. Piata Iancu de Hunedoara, nr. 3",0749274796,dr.silviatat@gmail.com
118,CMI DR. TRESTIAN PETRONELA,Hunedoara,"str. Intrarea Lanului, nr. 1/4","Hunedoara, str. Intrarea Lanului, nr. 1/4",0354880555,drpetronelatrestian@yahoo.com
119,SC AS TERRA SAN SRL,Hunedoara,"Social: str. Mihai Viteazu, nr. 9, bl. X4, ap. 1","Hunedoara, Social: str. Mihai Viteazu, nr. 9, bl. X4, ap. 1",0723534105,tikiveress@yahoo.com
120,CMI DR. BRUJAN OANA,Hunedoara,"str. Eliberarii, nr. 3, bl. 8, ap. 4","Hunedoara, str. Eliberarii, nr. 3, bl. 8, ap. 4",0354808929,cmidrbrujan@yahoo.com
121,CMI DR. FODOR LILIANA,Ilia,"str. Libertatii, nr. 69","Ilia, str. Libertatii, nr. 69",0744652071,fodor.liliana@yahoo.com
122,CMI DR. MURARI CRISTINA,Ilia,"str. Libertatii, nr. 69","Ilia, str. Libertatii, nr. 69",0744215410,cristina_murari@yahoo.com
123,CMI DR. CRISAN GRIGORE,Lupeni,"str. Tudor Vladimirescu, bl. 29, ap. 5","Lupeni, str. Tudor Vladimirescu, bl. 29, ap. 5",0254562737,drcrisangrigore@yahoo.com
124,CMI DR. HAIDUC ELENA,Lupeni,"str. Tudor Vladimirescu, nr. 37/46","Lupeni, str. Tudor Vladimirescu, nr. 37/46","0254564023, 0722348858",elahaiduc@yahoo.com
125,CMI DR. HANCILA FELICIA  PARASCHIVA,Lupeni,"str. Barbateni, nr. 16, ap. 22","Lupeni, str. Barbateni, nr. 16, ap. 22",0721808561,lucianfelicia@yahoo.com
126,CMI DR. HANCILA LUCIAN VIRGIL,Lupeni,"str. Parangului, nr. A8, ap. 46","Lupeni, str. Parangului, nr. A8, ap. 46",0254561695,lucianfelicia@yahoo.com
127,CMI ELIXIR,Lupeni,"str. Aleea Castanilor, nr. 6, ap. 2","Lupeni, str. Aleea Castanilor, nr. 6, ap. 2",0722262084,m_ana_elixir@yahoo.com
128,CMI DR. OTOI EUGENIA,Lupeni,"str. Barbateni, bl. 16, ap. 23","Lupeni, str. Barbateni, bl. 16, ap. 23",0254562924,eugeniaotoi@gmail.com
129,CMI DR. SALATEANU CAROL,Lupeni,"str. Aleea Narciselor, nr. 2/18","Lupeni, str. Aleea Narciselor, nr. 2/18","0723594618, 0254560397",salateanu.carol57@gmail.com
130,CMI DR. STAICULESCU GABRIELA,Lupeni,"str. Parangului, bl. D6/9","Lupeni, str. Parangului, bl. D6/9",0744394014,gabriela_staiculescu@yahoo.com
131,CMI DR. STROESCU AURELIA,Lupeni,"str. Vitos Gavrila, nr. 44/7-8","Lupeni, str. Vitos Gavrila, nr. 44/7-8",0254564386,aureliastroescu@yahoo.com
132,CMI DR. CARMEN TIMPLARESCU ,Lupeni,"Aleea Castanilor, bl. 6, ap.1","Lupeni, Aleea Castanilor, bl. 6, ap.1",0254560212,carmen_timplarescu@yahoo.com
133,CMI ELIXIR ,Lupeni,"str. Aleea Castanilor, nr. 6/2","Lupeni, str. Aleea Castanilor, nr. 6/2",0722262068,voicutania5@gmail.com
134,CMI DR. CRISAN ESTERA,Orastie,"str. Muresului, bl. 10, sc. E, parter","Orastie, str. Muresului, bl. 10, sc. E, parter","0254240612, 0723215466",cmiesteracrisan@yahoo.com
135,CMI DR. DAMASCHIN GABRIELA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18",0722643947,damasching50@gmail.com
136,CMI DR. FILIP GEORGETA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18",0741227667,filipgeorgeta56@yahoo.com
137,CMI EUROMEDICA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18",0723260268,fulgamonica@yahoo.com
138,CMI DR. IRIMESCU MARIA CORNELIA,Orastie,"str. Muresul, Piaţa micro II","Orastie, str. Muresul, Piaţa micro II",0744597682,irimescu.Maria@gmail.com
139,CMI DR. MANIU AURORA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18","0744597899, 0254241101",cmi.maniuaurora@yahoo.com
140,CMI DR. MARIN MIHAELA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18","0724377935, 0721378060",cmi.marinmihaiela@yahoo.com
141,CMI DR. MITCA DANIELA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18",0722638675,mitcadaniela@yahoo.com
142,CMI DR. ONCESCU ADELA CLARA,Orastie,Piata Micro II,"Orastie, Piata Micro II",0254244047,dr_oncescu_adela@yahoo.com
143,CMI DR. SECHI  SANDA,Orastie,"str. Nicolae Balcescu, nr. 16","Orastie, str. Nicolae Balcescu, nr. 16",0722260872,sanda.sechi@gmail.com
144,CMI DR. SIDO STEBLEA MARTA,Orastie,"P-ta Muresului, MicroII, nr. 1","Orastie, P-ta Muresului, MicroII, nr. 1",0254241539,cmi.sido.steblea@gmail.com
145,CMI DR. SUTA CRISTINA,Orastie,"str. Nicolae Balcescu, nr. 18","Orastie, str. Nicolae Balcescu, nr. 18",0745096684,crystyna_suta@yahoo.com
146,CMI DR. FULGA CODREANU C.Z.,Orastioara de Sus,"str. Principala, nr. 183","Orastioara de Sus, str. Principala, nr. 183",0254246510,cmi.fulgacornel@yahoo.com
147,CMI DR. ROMAN TATIANA GEORGETA,Pestisu-Mic,str. Principala,"Pestisu-Mic, str. Principala",0723191404,tatiana_georgeta@yahoo.com
148,CMI DR. CALIAN ANA ADRIANA,Petrila,"str. Tudor Vladimirescu, nr. 1","Petrila, str. Tudor Vladimirescu, nr. 1",0731545030,kampas_adi@yahoo.com
149,CMI DR. DIMIAN ALINA MARILENA,Petrila,"str. Tudor Vladimirescu, nr. 1-2","Petrila, str. Tudor Vladimirescu, nr. 1-2",0254543889,alinutza81ro@yahoo.com
150,CMI DR. JAKO JOLAN,Petrila,"str. Tudor Vladimirescu, nr. 1-2","Petrila, str. Tudor Vladimirescu, nr. 1-2",0723324671,zolijako@yahoo.com
151,CMI DR. POPA DANIELA LUCIA,Petrila,"str. Tudor Vladimirescu, nr. 1","Petrila, str. Tudor Vladimirescu, nr. 1",0254550486,morutza@yahoo.com
152,CMI DR. ROSCA REMUS,Petrila,"str. Republicii, nr. 315/2","Petrila, str. Republicii, nr. 315/2",0729063830,cmidrroscaremus1@yahoo.com
153,CMI DR. SCARISOREANU NELA,Petrila,"str. 6 August, nr.8/1","Petrila, str. 6 August, nr.8/1",0723384070,nelascarisoreanu@yahoo.com
154,CMI DR. SZABO  MARIA,Petrila,"str. Tudor Vladimirescu, nr.1-2","Petrila, str. Tudor Vladimirescu, nr.1-2",0254550051,maria.szabo50@yahoo.com
155,CMI DR. VISANESCU DANIELA,Petrila,"str. Tudor Vladimirescu, nr. 1-2","Petrila, str. Tudor Vladimirescu, nr. 1-2",0254550505,dddavisanescu@yahoo.com
156,CMI DAWA,Petrosani,"str. Aviatorilor, nr. bl. 56/16","Petrosani, str. Aviatorilor, nr. bl. 56/16",0723574400,bacinschivitalie@yahoo.com
